"","saleprice","gdistance","wdistance","cdistance","bathrooms","bedrooms","sqftbuilding","sqftlot","age"
"2355",155000,8462.951171875,4268.34423828125,152.141006469727,2,3,1558,6000,1
"2356",148500,1408.25500488281,13017.220703125,281.709991455078,2,4,1527,7900,14
"2357",142500,13239.7783203125,5153.4541015625,243.794998168945,3,5,2678,6500,5
"2358",140000,12211.2763671875,5020.60400390625,285.997985839844,3,4,2163,13983,20
"2359",195000,7376.85009765625,5988.5888671875,597.991027832031,2,3,1887,9117,5
"2360",340000,4535.30078125,10068.7060546875,5.90399980545044,3,4,2690,65108,7
"2361",93500,14741.9326171875,1489.46203613281,58.9650001525879,1,2,829,7150,43
"2362",164000,12907.1005859375,3458.22998046875,1272.25695800781,2.5,4,2175,6500,5
"2363",113000,7584.86279296875,4871.958984375,783.815979003906,2,2,1108,8300,41
"2364",48500,10277.01171875,4372.31103515625,1181.8310546875,1,3,1712,8614,51
"2365",96000,12487.5546875,2356.22900390625,1827.65905761719,1,3,1026,5000,75
"2366",120000,7361.23193359375,3849.90698242188,669.002990722656,2.5,3,1847,10000,10
"2367",225000,1103.24096679688,13357.3701171875,300.039001464844,3,5,3045,6874,4
"2368",72500,7804.4482421875,6039.416015625,116.73999786377,1,2,576,6000,67
"2369",87000,6536.43994140625,14493.9404296875,934.159973144531,1,2,816,3750,49
"2370",112500,8009.7119140625,5612.1240234375,37.1780014038086,1,3,1094,6300,37
"2371",111000,4105.14404296875,11978.861328125,1005.79901123047,2,3,1322,6950,34
"2372",349000,11468.240234375,15668.826171875,74.4420013427734,3,3,2675,9797,5
